category_id,category_name,n_folds,threshold_mean,threshold_std,threshold_mode,threshold_median,threshold_min,threshold_max,threshold_selected
20000525,labor >> collective agreements (20000525),0,,,,,,,0.5
20000529,labor >> labor dispute (20000529),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000530,labor >>> labor strike (20000530),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000531,labor > retirement (20000531),0,,,,,,,0.5
20000532,labor >> pension (20000532),0,,,,,,,0.5
20000533,labor > unemployment (20000533),0,,,,,,,0.5
20000536,labor > unions (20000536),0,,,,,,,0.5
20000538,lifestyle+ > leisure (20000538),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000540,lifestyle+ >> game (20000540),0,,,,,,,0.5
20000541,lifestyle+ >>> board game (20000541),0,,,,,,,0.5
20000548,lifestyle+ >>> video game (20000548),0,,,,,,,0.5
20000549,lifestyle+ >> gaming and lottery (20000549),0,,,,,,,0.5
20000550,lifestyle+ >> hobby (20000550),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000551,lifestyle+ >> vacation (20000551),0,,,,,,,0.5
20000552,lifestyle+ >>> public holiday (20000552),0,,,,,,,0.5
20000553,lifestyle+ >> leisure venue (20000553),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000554,lifestyle+ >>> amusement park (20000554),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000555,lifestyle+ >>> bar (20000555),0,,,,,,,0.5
20000556,lifestyle+ >>> cafe (20000556),0,,,,,,,0.5
20000558,lifestyle+ >>> restaurant (20000558),0,,,,,,,0.5
20000560,lifestyle+ >> outdoor recreational activities (20000560),0,,,,,,,0.5
20000561,lifestyle+ >>> fishing (20000561),0,,,,,,,0.5
20000562,lifestyle+ >>> hunting (20000562),0,,,,,,,0.5
20000563,lifestyle+ >> travel and tourism (20000563),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000565,lifestyle+ > lifestyle (20000565),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000566,lifestyle+ >>> automobile enthusiasm (20000566),0,,,,,,,0.5
20000568,lifestyle+ >>> food and drink enthusiasm (20000568),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000570,lifestyle+ >> house and home (20000570),0,,,,,,,0.5
20000574,politics and government > election (20000574),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000575,politics and government >> citizens' initiative and recall (20000575),0,,,,,,,0.5
20000576,politics and government >> electoral system (20000576),0,,,,,,,0.5
20000578,politics and government >> local elections (20000578),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000579,politics and government >> national elections (20000579),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000582,politics and government >> political candidates (20000582),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000584,politics and government >> referendum (20000584),0,,,,,,,0.5
20000585,politics and government >> state elections (20000585),0,,,,,,,0.5
20000586,politics and government >> voting (20000586),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000587,society > fundamental rights (20000587),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000588,society >> censorship and freedom of speech (20000588),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000591,society >> freedom of the press (20000591),0,,,,,,,0.5
20000592,society >> human rights (20000592),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000593,politics and government > government (20000593),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
